lat,lon,source_type,record_count,countrycode,country_name,wb_income_group
-22.8,-47.3,REGIONAL,701,BR,Brazil,Upper middle income
-22.3,-49.0,INTERNAL,701,BR,Brazil,Upper middle income
-21.1,-47.8,INTERNAL,692,BR,Brazil,Upper middle income
-27.7,-48.8,REGIONAL,691,BR,Brazil,Upper middle income
-23.0,-42.7,INTERNAL,690,XX,Unknown,Not classified
-20.5,-29.5,INTERNAL,688,XX,Unknown,Not classified
-2.9,-60.0,REGIONAL,688,BR,Brazil,Upper middle income
-12.9,-38.5,INTERNAL,687,BR,Brazil,Upper middle income
-20.4,-49.2,INTERNAL,686,BR,Brazil,Upper middle income
-7.1,-38.5,REGIONAL,686,BR,Brazil,Upper middle income
-23.0,-43.0,INTERNAL,686,XX,Unknown,Not classified
-25.1,-47.9,INTERNAL,686,BR,Brazil,Upper middle income
-27.5,-48.4,INTERNAL,681,XX,Unknown,Not classified
-15.9,-46.1,REGIONAL,680,BR,Brazil,Upper middle income
-2.6,-44.3,REGIONAL,678,XX,Unknown,Not classified
-28.0,-48.6,REGIONAL,673,XX,Unknown,Not classified
-22.8,-43.5,REGIONAL,671,BR,Brazil,Upper middle income
-23.0,-43.1,INTERNAL,669,XX,Unknown,Not classified
-23.6,-45.3,INTERNAL,669,BR,Brazil,Upper middle income
-23.0,-43.0,REGIONAL,668,XX,Unknown,Not classified
-10.0,-67.8,REGIONAL,667,BR,Brazil,Upper middle income
-3.9,-38.6,REGIONAL,667,BR,Brazil,Upper middle income
-26.4,-48.7,INTERNAL,663,BR,Brazil,Upper middle income
-22.4,-44.5,REGIONAL,661,BR,Brazil,Upper middle income
-29.5,-50.2,REGIONAL,659,BR,Brazil,Upper middle income
-23.1,-47.2,REGIONAL,659,BR,Brazil,Upper middle income
-23.2,-47.0,REGIONAL,658,BR,Brazil,Upper middle income
-22.9,-46.9,INTERNAL,657,BR,Brazil,Upper middle income
-22.9,-43.2,EXTERNAL,653,BR,Brazil,Upper middle income
-27.0,-49.1,REGIONAL,653,BR,Brazil,Upper middle income
-1.4,-48.4,REGIONAL,649,BR,Brazil,Upper middle income
-9.8,-56.1,REGIONAL,647,BR,Brazil,Upper middle income
-20.4,-40.3,INTERNAL,646,XX,Unknown,Not classified
-17.4,-56.8,REGIONAL,645,BR,Brazil,Upper middle income
-25.3,-48.4,INTERNAL,644,BR,Brazil,Upper middle income
-24.1,-48.0,INTERNAL,640,BR,Brazil,Upper middle income
-26.9,-49.0,REGIONAL,639,BR,Brazil,Upper middle income
-22.9,-42.5,INTERNAL,637,BR,Brazil,Upper middle income
1.1,-52.6,INTERNAL,636,BR,Brazil,Upper middle income
-15.6,-48.0,REGIONAL,636,BR,Brazil,Upper middle income
-22.4,-49.7,INTERNAL,630,BR,Brazil,Upper middle income
-18.7,-39.9,REGIONAL,629,BR,Brazil,Upper middle income
-15.9,-48.0,REGIONAL,629,BR,Brazil,Upper middle income
-23.8,-45.9,INTERNAL,625,BR,Brazil,Upper middle income
-20.8,-49.4,INTERNAL,624,BR,Brazil,Upper middle income
-23.5,-46.7,EXTERNAL,622,BR,Brazil,Upper middle income
-23.7,-45.2,INTERNAL,622,BR,Brazil,Upper middle income
-22.9,-43.5,REGIONAL,620,BR,Brazil,Upper middle income
-1.5,-48.5,REGIONAL,620,BR,Brazil,Upper middle income
1.9,-30.0,EXTERNAL,618,XX,Unknown,Not classified
-20.9,-40.8,INTERNAL,613,BR,Brazil,Upper middle income
-23.7,-46.4,REGIONAL,610,BR,Brazil,Upper middle income
-20.9,-40.7,INTERNAL,609,XX,Unknown,Not classified
-18.9,-48.3,REGIONAL,605,BR,Brazil,Upper middle income
-26.6,-49.4,REGIONAL,604,BR,Brazil,Upper middle income
-20.7,-40.5,REGIONAL,602,XX,Unknown,Not classified
-7.0,-35.7,REGIONAL,592,BR,Brazil,Upper middle income
-22.4,-42.7,EXTERNAL,591,BR,Brazil,Upper middle income
-23.0,-43.2,EXTERNAL,590,XX,Unknown,Not classified
-25.8,-48.6,INTERNAL,589,BR,Brazil,Upper middle income
-23.2,-45.9,REGIONAL,588,BR,Brazil,Upper middle income
-25.8,-53.5,REGIONAL,582,BR,Brazil,Upper middle income
-2.1,-59.0,INTERNAL,581,BR,Brazil,Upper middle income
-9.2,-35.9,REGIONAL,580,BR,Brazil,Upper middle income
-25.6,-54.6,REGIONAL,580,PY,Paraguay,Upper middle income
-24.2,-47.4,REGIONAL,578,BR,Brazil,Upper middle income
-22.4,-42.8,EXTERNAL,577,BR,Brazil,Upper middle income
-27.4,-48.4,REGIONAL,576,XX,Unknown,Not classified
-22.7,-47.6,REGIONAL,567,BR,Brazil,Upper middle income
-22.6,-50.4,INTERNAL,567,BR,Brazil,Upper middle income
-9.2,-57.0,INTERNAL,566,BR,Brazil,Upper middle income
