original_key,resolved_name,resolved_country,type,__index_level_0__
a6b12e82-2dd9-4928-9cd9-34ebca796e1b,Grupo Colombiano de Odonatología,CO,organization,212
Grupo Colombiano de Odonatología,Grupo Colombiano de Odonatología,CO,rightsholder,213
362ae1bf-9a56-495f-81a0-03287b43e3b7,Colegio Mayor de Nuestra Señora del Rosario,CO,organization,214
Colegio Mayor de Nuestra Señora del Rosario,Colegio Mayor de Nuestra Señora del Rosario,CO,rightsholder,215
a7ab2b04-95ad-4b94-a5bc-79b02c447426,"Universität Bayreuth, Lehrstuhl für Biogeographie",DE,organization,216
"Universität Bayreuth, Lehrstuhl für Biogeographie","Universität Bayreuth, Lehrstuhl für Biogeographie",DE,rightsholder,217
25c26413-05dc-4621-9d0c-a69b726b90fa,CSIR-National Botanical Research Institute Lucknow,IN,organization,218
CSIR-National Botanical Research Institute Lucknow,CSIR-National Botanical Research Institute Lucknow,IN,rightsholder,219
15f62eb6-ed3b-4b41-a992-1cbeb2af0d24,Citizens of the Sea,NZ,organization,220
Citizens of the Sea,Citizens of the Sea,NZ,rightsholder,221
1b016c51-30b0-4a43-9f9e-b3ee9d04ba99,"Leafminer Group, Gannan Normal University",CN,organization,222
"Leafminer Group, Gannan Normal University","Leafminer Group, Gannan Normal University",CN,rightsholder,223
d424d363-efa1-4348-aef8-28aa7b65c892,Lacoscope,FR,organization,224
Lacoscope,Lacoscope,FR,rightsholder,225
dd9a6030-0a2a-4fe7-95e5-b8733bb8214f,Observation des Papillons Nocturnes,TG,organization,226
Observation des Papillons Nocturnes,Observation des Papillons Nocturnes,TG,rightsholder,227
7d59640e-da02-4cbd-bf34-b24b72b0c017,TAI-ÉCOSAFE Luxembourg,LU,organization,228
TAI-ÉCOSAFE Luxembourg,TAI-ÉCOSAFE Luxembourg,LU,rightsholder,229
12bfcfe1-a08f-41b7-a2ac-4a0ee6564da0,Universidade Federal do Tocantins,BR,organization,230
Universidade Federal do Tocantins,Universidade Federal do Tocantins,BR,rightsholder,231
2c5d4c1b-a627-4da2-af35-a1a170294a71,CEJG Entomological Collection,US,organization,232
CEJG Entomological Collection,CEJG Entomological Collection,US,rightsholder,233
7412f07b-efce-435a-9f81-17e76d6e3bef,Asociación para la Conservación de la Cuenca Amazónica - ACCA,PE,organization,234
Asociación para la Conservación de la Cuenca Amazónica - ACCA,Asociación para la Conservación de la Cuenca Amazónica - ACCA,PE,rightsholder,235
f115f4b7-2e34-497b-b91c-3ac08b7184df,Universidade Estadual do Norte Fluminense,BR,organization,236
Universidade Estadual do Norte Fluminense,Universidade Estadual do Norte Fluminense,BR,rightsholder,237
4b7d66c0-587d-416a-b799-6e1d71ec8957,Embrapa Pecuária Sul,BR,organization,238
Embrapa Pecuária Sul,Embrapa Pecuária Sul,BR,rightsholder,239
8a73847a-4055-449c-b382-bca52789e0a6,Pontifícia Universidade Católica do Paraná,BR,organization,240
Pontifícia Universidade Católica do Paraná,Pontifícia Universidade Católica do Paraná,BR,rightsholder,241
b424a969-927a-469d-9e05-3027b864111d,Creative Bioarray,US,organization,242
Creative Bioarray,Creative Bioarray,US,rightsholder,243
83d8c270-5131-49fd-a9e3-474805533080,L. H. Bailey Hortorium Herbarium (BH) at Cornell University,US,organization,244
L. H. Bailey Hortorium Herbarium (BH) at Cornell University,L. H. Bailey Hortorium Herbarium (BH) at Cornell University,US,rightsholder,245
2f8b6ca1-0642-43da-889d-70d0d884301f,WildTales Foundation,IN,organization,246
WildTales Foundation,WildTales Foundation,IN,rightsholder,247
81db4f82-bc41-4144-b748-5aa055bbb4fb,Università di Siena,IT,organization,248
Università di Siena,Università di Siena,IT,rightsholder,249
8544c1de-58fe-49bf-a684-00a1de67eff2,"Florida Atlantic University, Harbor Branch Oceanographic Institute",US,organization,250
